List ,Headword ,Related forms,Total frequency
1k,explain,"explain (7697), explained (6772), explainer (1), explainers (0), explaining (1808), explains (2453), explanation (4635), explanations (1625), explanatory (705), unexplained (259)",25955
1k,express,"express (4918), expressed (7144), expresses (634), expressible (42), expressing (1409), expression (7358), expressionless (148), expressionlessly (35), expressions (1294), expressive (533), expressively (30), expressiveness (57), expressly (600), inexpressible (26), unexpressed (27)",24255
1k,extra,"extra (10160), extras (373)",10533
1k,eye,"eye (10022), eyed (1761), eyeful (14), eyefuls (0), eyeing (242), eying (5), eyeless (20), eyelet (14), eyelets (32), eyes (27460)",39570
1k,face,"face (33792), faced (5516), faceless (136), faces (4473), facing (4076), facings (42)",48035
1k,fact,"fact (36933), factly (55), facts (5206)",42194
1k,fair,"fair (9235), fairer (265), fairest (70), fairly (6586), fairness (701), unfair (1900), unfairly (307), unfairness (146)",19210
1k,fall,"fall (11206), fallen (3885), falling (4617), falls (3093), fell (10254)",33055
1k,family,"family (34059), familial (283), families (8251), subfamilies (11), subfamily (38)",42642
1k,far,"far (40619), farther (500), farthest (88)",41207
1k,farm,"farm (7033), farmed (247), farmer (2348), farmers (5011), farming (2337), farms (1818), unfarmed (1)",18795
1k,fast,"fast (8069), faster (2944), fastest (874)",11887
1k,fat,"fat (4819), fatless (2), fatly (4), fatness (28), fats (276), fatten (60), fattened (42), fattening (131), fattens (4), fatter (117), fattest (19), fattier (6), fattiest (2), fattiness (0), fattish (2), fatty (589)",6101
1k,father,"father (23280), fathered (61), fatherhood (48), fathering (20), fatherless (37), fatherly (57), fathers (1203)",24706
1k,favourite,"favourite (4671), favorite (20), favorites (4), favoritism (1), favourites (847), favouritism (100)",5643
1k,fear,"fear (9031), feared (1899), fearful (695), fearfulness (13), fearfully (131), fearing (406), fearless (155), fearlessly (42), fearlessness (18), fears (3351), unfeared (0)",15741
1k,feed,"feed (3300), fed (3032), feeder (268), feeders (131), feeding (2425), feeds (511), unfed (8)",9675
1k,feel,"feel (25410), feeler (8), feelers (36), feeling (12513), feelings (5175), feels (3206), felt (26195), feelingly (15), unfeeling (63), unfeelingly (3)",72624
1k,fellow,"fellow (4695), fella (270), fellas (82), fellows (675), fellowship (778), fellowships (153)",6653
1k,few,"few (43374), fewer (3056), fewest (41)",46471
1k,field,"field (15611), fielded (130), fielder (64), fielders (38), fielding (443), fields (5798), midfielder (532), midfielders (47)",22663
1k,fight,"fight (6787), fighter (1013), fighters (761), fighting (5722), fights (697), fought (2938)",17918
1k,figure,"figure (17609), fig (7779), figs (441), figural (74), figuration (29), figurations (9), figured (424), figures (11314), figuring (70), figurings (0)",37749
1k,fill,"fill (4003), filled (5625), filler (212), fillers (90), filling (1984), fillings (142), fills (486), refill (131), refillable (15), refilled (111), refilling (35), refills (18), unfilled (61)",12913
1k,film,"film (10583), filmed (454), filming (636), films (3468), filmy (30)",15171
1k,final,"final (16438), finalise (104), finalised (255), finalises (4), finalising (62), finalist (133), finalists (280), finality (136), finalize (34), finalized (81), finalizes (1), finalizing (19), finally (12588), finals (1483), semifinalist (1), semifinalists (0)",31619
1k,find,"find (40953), finder (101), finders (27), finding (6640), findings (3277), finds (3117), found (47479), unfound (2)",101596
1k,fine,"fine (13213), finely (728), fineness (46), finer (536), finery (82), finest (1719)",16324
1k,finger,"finger (3274), fingered (238), fingering (123), fingers (5448)",9083
1k,finish,"finish (4430), finished (8405), finisher (50), finishers (78), finishes (551), finishing (1536), unfinished (389)",15439
1k,fire,"fire (14325), fired (2222), fires (1327), firing (994), misfire (59), misfired (21), misfires (11), misfiring (9)",18968
1k,first,"first (124203), firstly (1710), firsts (77)",125990
1k,fish,"fish (11050), fished (338), fisheries (765), fishers (36), fishery (185), fishes (192), fishier (1), fishiest (0), fishily (1), fishiness (2), fishing (3481), fishy (110)",16161
1k,fit,"fit (8340), fitness (1581), fits (1213), fitted (3602), fitter (349), fitters (75), fittest (135), fitting (1976), fittingly (64), fittings (785), unfit (388), unfitness (27), unfitted (19), unfitting (8)",18562
1k,five,"five (45670), fifteen (5367), fifteenth (897), fifteenths (26), fifth (3974), fifthly (37), fifths (265), fifties (1031), fiftieth (122), fiftieths (0), fifty (9441), fives (307)",67137
1k,fix,"fix (1465), fixable (2), fixed (6723), fixedly (65), fixer (37), fixers (18), fixes (156), fixing (742), fixings (55), fixity (33), unfixed (9)",9305
1k,flat,"flat (8585), flatly (363), flatness (51), flatten (147), flattened (506), flattening (110), flattens (27), flattest (7), flattish (13)",9809
1k,floor,"floor (11597), floored (124), flooring (208), floorings (4), floors (1166)",13099
1k,flower,"flower (2526), flowered (274), flowerer (1), flowerers (1), flowerier (0), floweriest (0), floweriness (2), flowering (604), flowers (5362), flowery (102)",8872
1k,fly,"fly (4222), flew (2263), flier (85), fliers (82), flies (1197), flown (1099), flyer (201), flyers (159), flying (4896), unflown (0)",14204
1k,follow,"follow (10591), ff (444), followed (14400), follower (210), followers (1015), following (26713), follows (9995)",63368
1k,food,"food (19036), foods (2092)",21128
1k,foot,"foot (8076), feet (13411), footed (250), footer (76), footers (23), ft (4111)",25947
1k,football,"football (6697), footballer (374), footballers (276), footballing (136), footballs (31), footie (30), footies (0)",7544
1k,for,"for (881604), fer (242)",881846
1k,force,"force (16020), forced (7878), forceful (366), forcefully (238), forces (11671), forcible (109), forcibly (366), forcing (1440), unforced (23)",38111
1k,forest,"forest (7263), forested (84), forester (211), foresters (215), foresting (0), forestry (964), forests (1951)",10688
1k,forget,"forget (5963), forgetful (88), forgetfully (4), forgetfulness (69), forgets (152), forgettable (31), forgetting (762), forgot (1484), forgotten (3967), unforgettable (180), unforgotten (4), unforgettably (5)",12709
1k,form,"form (34655), formed (7245), forming (1898), formless (56), formlessness (12), forms (11574), preform (1), preformed (25), preforming (1), preforms (1), unformed (27)",55495
1k,fortunate,"fortunate (1263), fortunately (1610), unfortunate (1554), unfortunately (4552), unfortunates (49)",9028
1k,forward,"forward (15034), forwarded (206), forwarder (23), forwarders (28), forwarding (113), forwards (1488)",16892
1k,four,"four (50519), forties (571), fortieth (59), fortieths (3), forty (8202), fortyish (16), fours (434), fourteen (2746), fourteenth (744), fourteenths (0), fourth (6332), fourthly (137), fourths (57)",69820
1k,free,"free (24015), freed (914), freedom (5947), freedoms (371), freeing (296), freely (1573), freer (239), frees (93), freest (12), unfree (26), unfreed (0)",33486
1k,freeze,"freeze (1046), freezable (3), freezer (451), freezers (98), freezes (113), freezing (986), froze (428), frozen (1959), unfrozen (19)",5103
1k,fresh,"fresh (6768), freshen (48), freshened (33), freshener (22), fresheners (13), freshening (31), freshens (1), fresher (107), freshest (40), freshly (720), freshness (205)",7988
1k,friday,"friday (5455), fri (324), fridays (244)",6023
1k,friend,"friend (16508), friendless (42), friendlier (55), friendlies (40), friendliest (30), friendliness (219), friendly (4375), friends (14633), friendship (1949), friendships (382), unfriendliest (0), unfriendly (188), unfriendliness (7)",38428
1k,fright,"fright (404), frighten (414), frightened (2546), frightener (3), frighteners (12), frightening (1007), frighteningly (88), frightens (81), frightful (156), frightfully (72), frights (6)",4789
1k,from,from (426024),426024
1k,front,"front (21955), forefront (494), forefronts (0), frontage (147), frontages (83), frontal (194), frontally (9), fronted (274), fronting (106), frontmost (0), fronts (411), frontwards (1)",23674
1k,full,"full (32700), fuller (727), fullest (241), fullness (236), fully (9089)",42993
1k,fun,"fun (5153), funnier (60), funnies (16), funniest (120), funnily (104), funny (4331), funniness (4)",9788
1k,further,"further (35820), furtherance (92), furthered (50), furtherest (0), furthering (128), furthers (17), furthest (257), furtherer (0), furthermost (8)",36372
1k,game,"game (14798), games (6171), gaming (116)",21085
1k,garden,"garden (10994), gardened (7), gardener (761), gardeners (577), gardening (975), gardens (3614)",16928
1k,gas,"gas (7883), gaseous (116), gases (879), gassed (60), gassing (38), gassy (15), gassiness (0)",8991
1k,general,"general (40803), generalisability (0), generalisable (22), generalisation (154), generalisations (161), generalise (117), generalised (264), generalises (12), generalising (34), generalist (118), generalists (35), generalities (55), generality (290), generalizability (0), generalizable (8), generalization (273), generalizations (188), generalize (137), generalized (346), generalizes (17), generalizing (50), generally (11474)",54558
1k,gentle,"gentle (2785), gentleness (204), gentler (180), gentlest (36), gently (3788)",6993
1k,get,"get (96367), gets (7607), gettin (96), getting (19706), getter (12), got (86573), gotcha (37), gotta (3678), gotten (140)",214216
1k,girl,"girl (14833), gal (190), gals (24), girlhood (26), girlie (67), girlies (11), girlish (83), girlishly (9), girlishness (4), girls (9133), girly (23)",24403
1k,give,"give (44058), gave (21982), gimme (68), given (41278), giver (104), givers (51), gives (10332), giving (12636), ungiven (1)",130510
1k,glad,"glad (3779), gladden (11), gladdened (12), gladdening (1), gladdens (6), gladder (7), gladdest (0), gladly (289), gladness (36)",4141
1k,glance,"glance (2451), glanced (2691), glances (397), glancing (649)",6188
1k,glass,"glass (9978), glasses (2394), glassier (1), glassiest (1), glassily (5), glassiness (2), glassy (194), glassful (11)",12586
1k,go,"go (87890), goer (75), goers (150), goes (14657), goin (339), going (64180), goings (197), gone (18512), goner (21), goners (1), gonna (12441), gunna (0), went (45876)",244339
1k,god,"god (23301), goddess (606), goddesses (98), godless (37), godlike (21), godliness (31), godly (99), gods (1305)",25498
1k,gold,"gold (8073), golden (3878)",11951
1k,good,"good (82337), gidday (0), goodday (1), gooder (11), gooders (28), goodies (239), goodly (44), goodness (1446), goody (277)",84383
1k,goodbye,"goodbye (1404), bye (2242), goodbyes (62)",3708
1k,govern,"govern (575), gov (6), governed (1107), governing (1944), government (62997), governmental (906), governments (4700), governor (2508), governors (1692), governorship (74), governorships (28), governs (197), govt (34), intergovernmental (221), misgoverned (1), misgoverning (0), misgoverns (0), ungovernable (33)",77023
1k,grandfather,"grandfather (1564), gran (611), grandad (278), grandads (11), grandchild (113), grandchildren (506), granddad (308), granddads (4), granddaughter (241), granddaughters (23), grandfathers (62), grandma (489), grandmas (7), grandmother (1381), grandmothers (111), grandmamma (3), grandmammas (0), grandpa (145), grandparent (66), grandparents (566), grandpas (2), grandpop (0), grandpops (0), grandson (617), grandsons (62), grans (7), grannie (17), grannies (17)",7211
1k,grass,"grass (4225), grassed (57), grasses (311), grassing (9), grassless (4), grasslike (0), grassy (315)",4921
1k,great,"great (47380), greater (15315), greatest (5062), greatly (3299), greatness (287), greats (109)",71452
1k,green,"green (15221), greener (151), greenest (22), greening (68), greenish (129), greenness (44), greens (899), greeny (36)",16570
1k,grey,"grey (6171), gray (1120), grayed (0), graying (5), grayish (0), grayly (1), grayness (0), grays (43), greyer (48), greyest (1), greying (111), greyish (106), greyly (5), greyness (58), greys (107)",7776
1k,ground,"ground (16501), foreground (307), foregrounded (37), foregrounding (55), foregrounds (33), grounded (400), grounding (208), groundless (86), grounds (6140), ungrounded (8)",23775
1k,group,"group (41808), grouped (673), grouping (741), groupings (510), groups (19412), intergroup (29), regroup (43), regrouped (40), regrouping (27), regroups (2), subgroup (136), subgroups (134), ungrouped (1)",63556
